case-ID | 主訴 | 疾患名 | 頻度
case-031 | 腰背部痛 | 腹部大動脈瘤破裂 | 低
case-032 | 腰背部痛 | 急性腎盂腎炎 | 高
case-033 | 麻痺・しびれ | 急性期脳梗塞（左中大脳動脈領域） | 中
case-034 | 麻痺・しびれ | ギランバレー症候群 | 低
case-035 | 浮腫 | 深部静脈血栓症（DVT） | 中
case-036 | 浮腫 | アナフィラキシーショック | 中
case-037 | 嘔吐・下痢 | 急性虫垂炎（穿孔あり） | 中
case-038 | 嘔吐・下痢 | 絞扼性腸閉塞 | 低
case-039 | 痙攣 | てんかん重積状態（status epilepticus） | 中
case-040 | 痙攣 | 重症低ナトリウム血症による痙攣 | 中
case-041 | 皮疹 | Stevens-Johnson症候群（SJS） | 低
case-042 | 皮疹 | 壊死性筋膜炎 | 低
case-043 | 精神科的主訴 | 急性薬物中毒（アセトアミノフェン過量服薬） | 中
case-044 | 精神科的主訴 | セロトニン症候群 | 低
case-045 | CPA | 心室細動（VF）→ROSC→下壁STEMI（緊急PCI適応） | 低
case-046 | CPA | 大量肺塞栓症（PEA型CPA）→tPA血栓溶解療法→ROSC | 低
case-047 | CPA | CPA蘇生不成功（蘇生中断の判断・死亡告知・グリーフケア） | 低
case-048 | 骨折・外傷 | 右大腿骨転子部骨折（出血性ショック） | 中
case-049 | 骨折・外傷 | 外傷性大動脈損傷（大動脈峡部裂傷） | 低
case-050 | 浮腫 | 急性腎障害（AKI）— 脱水＋NSAIDs常用による腎前性＋腎性混在 | 中
case-051 | 意識障害 | 粘液水腫性昏睡（Myxedema coma）— 甲状腺機能低下症の重篤な合併症 | 低
case-052 | 腹痛 | 上腸間膜動脈閉塞（SMA occlusion）→腸管壊死 | 低
case-053 | 腹痛 | 異所性妊娠破裂（卵管妊娠破裂） | 低
case-054 | 嘔吐・下痢 | 副腎クリーゼ（adrenal crisis） | 低
case-055 | 嘔吐・下痢 | 消化管穿孔（胃潰瘍穿孔） | 中
case-056 | 呼吸困難 | 緊張性気胸（tension pneumothorax） | 低
case-057 | 発熱 | 感染性心内膜炎（infective endocarditis） | 低
case-058 | 頭痛 | 脳静脈洞血栓症（cerebral venous sinus thrombosis：CVST） | 低
case-059 | めまい | 椎骨動脈解離（vertebral artery dissection）→ Wallenberg症候群 | 低
case-060 | 意識障害 | 非痙攣性てんかん重積（NCSE：non-convulsive status epilepticus） | 低
case-061 | 動悸 | WPW症候群（Wolff-Parkinson-White syndrome）による発作性上室頻拍（AVRT） | 低
case-062 | 呼吸困難 | 心タンポナーデ（cardiac tamponade）— 悪性心嚢液貯留 | 低
case-063 | 呼吸困難 | COPD急性増悪（acute exacerbation of COPD：AECOPD） | 高
case-064 | 呼吸困難 | 劇症型心筋炎（fulminant myocarditis） | 低
case-065 | 浮腫 | 深部静脈血栓症（DVT：deep vein thrombosis）＋肺塞栓症リスク高 | 中
case-066 | 麻痺・しびれ | 横断性脊髄炎（transverse myelitis） | 低
case-067 | 皮疹 | 壊死性筋膜炎（necrotizing fasciitis）Type II | 低
case-068 | その他 | 重症熱中症（heat stroke）— 労作性以外（古典型） | 中
case-069 | 泌尿器 | 尿管結石 | 高
case-070 | 泌尿器 | 急性腎盂腎炎 | 高
case-071 | 泌尿器 | 急性尿閉（前立腺肥大症による） | 高
case-072 | 泌尿器 | 急性無尿（腎後性：両側尿管閉塞による水腎症） | 低
case-073 | 咳・喀血 | 肺癌による喀血 | 中
case-074 | 咳・喀血 | 気管支拡張症による大量喀血 | 低
case-075 | 咳・喀血 | 重症市中肺炎（CAP with sepsis） | 高
case-076 | 外傷・頭部打撲 | 急性硬膜外血腫（lucid interval） | 中
case-077 | 外傷・頭部打撲 | 多発肋骨骨折＋血気胸 | 中
case-078 | 外傷・頭部打撲 | 脾臓損傷（遅発性ショック） | 中
case-079 | 薬物中毒・過量服薬 | ベンゾジアゼピン過量服薬 | 高
case-080 | 薬物中毒・過量服薬 | 三環系抗うつ薬中毒（TCA overdose） | 中
